id,sentence,neighborhood,theme,year
31735070124718,"although her father had been born in wilkinsburg and one of her grandmothers was from forest hills, baylis had grown up inmichigan and knew little about pittsburgh except the old stories about steel mills and darkness—at— noon.",Forest Hills,teaching/education,2000-2005
31735070125129,"0 project bundleup telethon saturday, _7une 1 7, 9:30 am4 pm or 3:308:30 pm volunteers will be stafﬁng the auction broadcast live from the wtaetv studios located off the parkway east in forest hills. 9,000 campuses across the country invest for—and enjoy—successfu| retirements.",Forest Hills,event,2000-2005
31735070125285,"v 2 hosing/rent forest hills a l "" ' large furnished room, newly remodeled home.’",Forest Hills,housing ad,2000-2005
31735070125376,route 30 (forest hills).,Forest Hills,transit,2000-2005
31735070125541,flexible hours in forest hills area.,Forest Hills,job ad,2000-2005
31735070125848,forest hills area.,Forest Hills,job ad,2000-2005
31735070131721,we pay ' $8/hr and are in forest hills.,Forest Hills,job ad,2000-2005
31735070133735,"_....1. , 16 other other \ psychology software tools (pst), in forest hills, pa is seeking to ﬁll an entry—level technical consulting position.",Forest Hills,job ad,2000-2005
31735070123678,"alumni, 4 pm (47298) exhibits studio arts exhibition monsat 10 am4 pm, th until 8 pm, university art gallery, ffa (8242 3) theatre kuntu repertory theatre “sun rising on the hill district,” directed by ricardo vv1ley; april 4 at 11 am, 7""‘ h. aud.",Hill District,art,2000-2005
31735070123926,"we’ve gone to homestead, the strip district, the hill district, squirrel hill.",Hill District,teaching/education,2000-2005
31735070123983,"i robert lee “rob” penny robert lee “rob” penny, playwrightinresidence of the kuntu repertory theatre anda founder with august wilson of the kuntu writers workshop, died march 17, 2003, following a heart attack at his home in the hill district.",Hill District,obituary,2000-2005
31735070124148,state representatives don walko (d—north side) and bill robinson (dhill district) said they need to know more about pitt’s plans for funding the events center.,Hill District,politics/activism,2000-2005
31735070124171,"7, ms 10 am4 pm, th until 8 pm theatre kuntu repertory theatre “murder on the hill district”; 7th fl. aud.",Hill District,art,2000-2005
31735070124478,"_ ' habitat is a nonprofit, nonaoftitegstnihe °°*""‘“*""“~""° _, this year, the panther habitat denominational christian organiza4: sis. prey 7 mercuryor r r 3 353593 8 q15, w 5 chapter will be constructing a house . tion_ that originated in 1976 to build ‘*2 w°'*°“' s«°’”“‘ r 5 a d p 0 l e k 1| a 0 in the hill district. houses forneedy families.",Hill District,outreach/nonprofit organization,2000-2005
31735070125160,"in the 19605, rogers helped develop the matilda theiss center in the hill district, one of the city’s first health centers.",Hill District,obituary,2000-2005
31735070125236,"how did it all begin? , i’d been a faculty member here for a few months when i heard, in 1970, that art blakey’sjazz messengers were playing at the crawford grill in the hill district.",Hill District,teaching/education,2000-2005
31735070125277,donated gently used and new children’s books will be given to several schools in the hill district as well as to literacy—promoting programs_in homestead and on the south some books will go directly to children and others will remain at the learning sites for general use. .. .,Hill District,outreach/nonprofit organization,2000-2005
31735070125921,"' “i ﬁnd that unacceptable,” branham said of pittsburgh reporters who refuse to go into neighborhoods such as the hill district and homestead.",Hill District,discrimination,2000-2005
31735070125921_1,"’ “murderer on the hill district” _ ,. .",Hill District,art,2000-2005
31735070125996,"friday, october 26, 2001 the pitt news 11 mllfllbf0|isiillb|lii0lls ‘murderer’ tense and suspenseful murder on the hill district s through nov.",Hill District,art,2000-2005
31735070126036,pitt’s chapter of habitat has spent two years raising money to sponsor a homein the hill district.,Hill District,outreach/nonprofit organization,2000-2005
31735070130285,the moneylwill be used to build a home for a needy family in pittsburgh’s hill district.,Hill District,outreach/nonprofit organization,2000-2005
31735070130657,the group plans to use the money from the grant and from other fund raisers for the house it is building in the hill district .,Hill District,outreach/nonprofit organization,2000-2005
31735070131028,"property, page 8 r t.hep1trnews monday, december 11, 2000 professor calls for a brentin mock staff writer rob penny’s name is synonymous with pitt’s africana studies department and pittsburgh’s hill district.",Hill District,teaching/education,2000-2005
31735070131044,the self—proclaimed “hill district graduate’?,Hill District,teaching/education,2000-2005
31735070131622,"arrange shipments of complimentary booze and other essentials with him _ at jzf7@pitiedu. _ ' 7$‘r dead 7’.‘r'i‘r “day of the dead” 79r7,“4""£i' “dawn of the dead” 72r7fr7l‘r72r “night of the living dead” “i wanna wish you a merry christmas from the bottom of my heart.” — jaci velasquez, “felix navidad” periday, december 5, 2003 getting pitt students out of their rooms since 1906 page 7 crawford grill celebrates 60 years christian niedan staff writer you see pieces of jorge myers’ artwork when you drive through the hill district.",Hill District,art,2000-2005
31735070131838,"they died in the line of duty on saturday, march 13, while battling a fouralarm ﬁre at ebenezer baptist pittsburgh ﬁreﬁghters prepare for the funeral procession of charles brace and , richard stefanakis, who died saturday at the ebenezer baptist church fire in the hill district.",Hill District,emergency/crime,2000-2005
31735070131861,"the space allows for a stunning view of downtown, east end and the hill district.",Hill District,event,2000-2005
31735070132299,"west virginia quarterback rasheed marshall is from pittsburgh’s hill district, and washington, pa., native dan mozes is a starting offensive lineman for the mountaineers.",Hill District,sports,2000-2005
31735070132513,"“today, a man who saw our setup outside the shop came over during a break from work and decided to get his blood pressure checked,” thomas said, describing a person who sought help at the sittin’ pretty salon and day spa in the hill district.",Hill District,outreach/nonprofit organization,2000-2005
31735070132521,"for more information _ca_ii:( i , ali derr/staff photographer community issues discussed in hill district i edna ‘counsel, left, and yvette andel representthe house association, a group found‘ version of europe’s high—speed maglev could be built in western pennsylvania christian niedan staff writer pitt students,‘faculty and staff members fill oakland in the morning, waiting for buses or shuttles, searching for parking spaces or trudging to class on foot.",Hill District,outreach/nonprofit organization,2000-2005
31735070132711,he ran for office in 2002 and now represents the hill district and parts of oakland.,Hill District,politics/activism,2000-2005
31735070133305,"a somewhere, while he was taking pictures of funerals and weddings, ’ children and grandparents, the hill district and squirrel hill, ‘smith , i found something.",Hill District,art,2000-2005
31735070133438,"robinson, (d—hill district), representative joseph preston (d—east liberty), chancellor mark nordenberg and irvis himself.",Hill District,politics/activism,2000-2005
31735070133487,"' germaine cook, a 26yearold hill district resident. who goes by the name shawn’ williams, and the nickname “blue,” is the prime suspect, according to police cmdr.",Hill District,emergency/crime,2000-2005
31735070133495,"' she described enron’s recent bankivins, page 2 some bouquet garden residents fear intruders after breakins police seek kidnapping suspect a ger'mainecook, a 26yearold hill district resident who goes. by the name .",Hill District,emergency/crime,2000-2005
31735070133529,"led:pitt‘sburgh 1 ' police to the""hideout of the suspect wanted for kidnapping a pitt germaine cook,"" hill district ' native, is accused of robbing the student nabbedin hill district with i. .t.h‘¢;.'zinwstigatisoiiiii§a5ii'ﬁ’§’”iii§t .without his help the suspect would still be at large. .",Hill District,emergency/crime,2000-2005
31735070133560,if you want to register or need more info just email us at a 0 habitat@pitt.edu. c all proceeds go towards the construction’ of new houses for pittsburgh’s hill district.,Hill District,outreach/nonprofit organization,2000-2005
31735070133735,"so reads the list of property in the lower hill district that was demolished _in the 1950s to make way for one of pittsburgh’s most prominent urban renewal projects, the building of the civic had a reputation comparable to the music of the world—famous clubs in harlem.",Hill District,displacement/gentrification,2000-2005
31735070125731,"17 police arrested nonstudent don wilson, also known as terry fluker, ;' of 2445 bedford ave., for retail theft at 3:02 p.m.",Hill District,emergency/crime,2000-2005
31735070123785,"friday, july 19,saturday, }a1y“‘2o,sunday, _7uly~21 stz@pitt.edu this festival in lawrenceville is the pittsburgh community food bank’s premier fundraiser.",Lawrenceville,event,2000-2005
31735070123843,"the festival continues this year in lawrenceville with artists los straightjacket, walter trout, debbie davies, charlie musselwhite, joe negri, anthony gomes, tommy castro and marsha ball.",Lawrenceville,event,2000-2005
31735070123876,francis hospital location in lawrenceville would alleviate trafﬁc congestion and free up more parking in existing garages over the next few years.,Lawrenceville,UPMC hospital,2000-2005
31735070124130,housing/rent lawrenceville efficiency apartment for rent.,Lawrenceville,housing ad,2000-2005
31735070124155,"the area includes bloomﬁeld, east hills, east liberty, ' friendship, garﬁeld, homewood, larirnar, lawrenceville, lemington, lincoln and morningside.",Lawrenceville,teaching/education,2000-2005
31735070124239,"’ iii >'i'i'iis issue pitt could see more attempts by e legislators to “micromanage” the university. .......... ............ ...2 though upmc has scrapped most of its oakland construction plans because of the new plan to move children’s hospital to lawrenceville, pitt is ‘forging ahead with its own plans for another biomedical science tower ........ ............. ..6 ‘volume 35 °.",Lawrenceville,UPMC hospital,2000-2005
31735070124668,"providence; “finding h — nemo” to follow game on ‘panthervision video ""board; petersen, 2 pm (83149) university tiivies tuesday 13 stephenfosterdaycelebration ‘ ceremonies commemorating 140th anniversatryvof composer’s death; allegheny cemetery, lawrenceville, 10 am; charity randall theatre, stephen ' foster memorial, noon intercultural lunch dining rm.",Lawrenceville,event,2000-2005
31735070124684,"the centers — in duquesne, lawrenceville, homewood and northview heights — will help 5‘ to screen applicants and refer noncustodial fathers to the right ""services, all in the interest of helping these men develop and maintainactive roles in their children’s lives.",Lawrenceville,outreach/nonprofit organization,2000-2005
31735070124718,"observatory 5 lecture “the discovery of quasars,” cyril hazard; allegheny observatory, 7:30 pm (412/ 3212400) ' choice cuts reading david walton, english; slaughterhouse gallery 8: studio, lawrenceville, 7:30 pm (412/ 68773110) sunday ‘19 performing arts of india classical music of india concert ken zuckerman 8: anindo chatterjee; ffa aud., 7 pm (44125) monday 20 critical care.",Lawrenceville,event,2000-2005
31735070124759,"michele dobransky, an administrator for the department of cell biology and physiology, and her family has a longstandingvolunteer tradition with the stephen foster community center in lawrenceville, another day of caring site.",Lawrenceville,outreach/nonprofit organization,2000-2005
31735070124791,"johnny vvinter, jimmy vaughn and the blind boys of alabama will join a host of top blues artists at this lawrenceville venue.",Lawrenceville,event,2000-2005
31735070125053,"foster was bon in lawrenceville on,july 4, 1826.",Lawrenceville,art,2000-2005
31735070125293,"north avenue; one at the eliza furnance trail entrance; one at 4503 penn ave. in lawrenceville, and at designated sites near all city swimming pools.",Lawrenceville,retail,2000-2005
31735070125343,"ste.phen foster”. chronicles ' the life of the composer, from his 18205 boyhood in lawrenceville, to his days as america’s first professional songwriter in new york city, where he died at the age of 37.",Lawrenceville,art,2000-2005
31735070125400,"friday—sunday, 2022, various sbz'ﬁ‘s the greater pittsburgh community food bank’s premier fundraiser moves to a new location in lawrenceville this year.",Lawrenceville,event,2000-2005
31735070125459,strip district or lawrenceville (41_2)7.65166565 = .,Lawrenceville,retail,2000-2005
31735070125517,"full or parttime summer bowling lanes in position with ﬂexible lawrenceville in hours during the school pittsburgh, 412683year.",Lawrenceville,job ad,2000-2005
31735070125525,spaaous studio apartment in lawrenceville.,Lawrenceville,housing ad,2000-2005
31735070125764,"one _bedroom, bath with share spa°‘°“s “om ""‘ hud/fha mortgage saloon in lawrenceville with east end ed, large threebedroom shower.",Lawrenceville,housing ad,2000-2005
31735070125806,"‘ ‘this is a good venue,” said joan king, who has a pottery. studio in lawrenceville, pa.",Lawrenceville,art,2000-2005
31735070130616,"strap on your walking shoes and bravethe wilds of lawrenceville: youwon’t be disappointed, in fact, you might even like it. ’ minnows finest i'|l'l'0l|s dance & movement classes, including...",Lawrenceville,event,2000-2005
31735070131002,"located in nearby or fulltime help. 24 pm. to share 2 bedroom apart"" lawrenceville call 683monday through me“ perfect for stu‘ 5992 for directions.",Lawrenceville,housing ad,2000-2005
31735070131507,lawrenceville sparkling 3 and a half bedroom house.,Lawrenceville,housing ad,2000-2005
31735070131549,lawrenceville 2 & 3 bedroom houses.,Lawrenceville,housing ad,2000-2005
31735070131556,"well if you do have them, :. or feel like catching the blues this weekend, no place is better. than the _ pittsburgh brewing a“ company in lawrenceville and the 9th ‘anna pittsburgh blues festival. ' n one band that will be appearing atthe festival that certainly has theirshare , of the blues, not tomention reds, yellows, greens and some other colors, is los straitjackets.",Lawrenceville,event,2000-2005
31735070131556_2,"lawrenceville2 bedroom washer/dryer, heat included.",Lawrenceville,housing ad,2000-2005
31735070131556_3,lawrencevillespacious 2 bedroom and a loft.,Lawrenceville,housing ad,2000-2005
31735070131564,"4128824594. apartment, ' 3 rooms and bath in lawrenceville, lst ﬂoor, large cupboards and storage.",Lawrenceville,housing ad,2000-2005
31735070131739,"lawrencevillespacious 2 bedroom, deck/yard, great location, $575+.",Lawrenceville,housing ad,2000-2005
31735070131739_1,"lawrenceville: 4bedroom house, brand new, spacious, separate living room, dining room, basement $850 +uti1ities.",Lawrenceville,housing ad,2000-2005
31735070131861,"francis medical center parking ga flux 10. age for times they area changin’ in lawrenceville flux 10 friday, 8 p.m. to 1 a.m. $7, $5 with a packaged toothbrush to be donated to qur lady of angels food pantry 4401 penn ave.",Lawrenceville,event,2000-2005
31735070131879,"lawrenceville, 2bedroom house, butler and stanton, yard, basement, porch.",Lawrenceville,housing ad,2000-2005
31735070131978,"412344shadysidﬁ large 2bed3900. please can sachs entrance, $350 +gas and 6132_ room, 2bathroom, fully lawrenceville: 4bed1bedroom furnished apartments.",Lawrenceville,housing ad,2000-2005
31735070132075,"see them live at the eye in lawrenceville on friday. , . pain of loss, compounded by their lingering presence and the knowledge that nothing‘ can be done to bring that person back .to you.",Lawrenceville,event,2000-2005
31735070132273,"‘foster was born on july 4, 1826 in lawrenceville, pa., and died jan. _l3, 1864.",Lawrenceville,art,2000-2005
31735070132299_1,"lawrenceville: bright, fully renovated 1 bedroom.",Lawrenceville,housing ad,2000-2005
31735070132349,"upstairs saloon in handyman stuff, concrete featured in “the real lawrenceville near the patching, painting,'1andcancun” movie.",Lawrenceville,job ad,2000-2005
31735070132372,"october 2, 2003 and every first thursday of the month; all invited to franciscan theology evenings 225 fisk street lawrenceville.",Lawrenceville,event,2000-2005
31735070132380,"lawrenceville. 10 minutes from oakland, 3 1/2bedrooms, washer/dryer, dishwasher, 1 block from bus line.",Lawrenceville,housing ad,2000-2005
31735070132455,"lawrenceville near the ________________ carpet, front porch with strip district, part:l:1e:d:’1‘:: hgui‘/z “1‘:“t’:]y back yard. $670 + gas a _ s , time, no experience nec. 1 ’ a ' and electric. 2bedroom, o c o nswermg civic‘?",Lawrenceville,housing ad,2000-2005
31735070133669_1,"lawrenceville, ﬂexible hours, must be computer literate.",Lawrenceville,job ad,2000-2005
PN_CB01," Divvy Coffee & Buns brings flavors from around the world to Oakland By Kaitlyn Nuebel, Staff Writer Joelle Sakr knew it was time to open a coffee shop when a sign came — a big explosion in Lebanon’s capital, Beirut. Weeks before the Aug. 4, 2020, explosion, when 2,750 tons of abandoned ammonium nitrate exploded in the city’s port, Sakr walked down Forbes Avenue with her family and noticed a “for lease” sign in the window of the former Bruegger’s Bagels store. She and her brother, Elie, spent their free time during the COVID19 pandemic honing their idea to open a coffee shop, so Joelle Sakr decided to call about the vacant storefront. But then the blast came — killing 200 people, wounding 6,000 and, in the process, destroying her sister’s house. Joelle Sakr Kaitlyn Nuebel | Staff Writer packed up her belongings in Cranberry Township, located Joelle Sakr and her brother Elie Sakr are the owners of Divvy Coffee and about 30 minutes north of Oakland, and flew to Lebanon to Buns, a new coffee shop on Forbes Avenue. visit her family. When she returned to Pittsburgh in September, she had a decision to make. “I saw that everything was shattered in a fraction of a second and how people lost their lives and their houses, their businesses, everything,” Joelle Sakr said. “I’m like, ‘I cannot wait for the right time, there’s no right moment. Either you do it or you don’t do it.’” Sitting in a fuchsia chair inside Divvy Coffee & Buns, which she opened with her brother seven weeks earlier, Joelle Sakr said she wanted to create an alternative to the commercial coffee shops typically found in the City. “Whatever coffee shop you walk to, especially around Pittsburgh, for me, they all look sorta alike,” Joelle Sakr said. “I was trying to bring something new that people would stop and say, ‘This is a little different.’” Sakr said she designed Divvy, decorated with a pink flower wall and framed maps, to have a European influence and emphasis on travel. Having dreamt about opening a coffee shop for the past 10 years, Joelle Sakr put thought into each decision. She sat on the velvet couch — where she’s seen students doze off — to make sure it felt comfortable, and picked black tables and shimmering gold chairs to resemble what she described as “Pittsburgh, but trendier.” "", ""Now Joelle Sakr spends her time at Divvy making coffee, chatting with customers and placing fresh flowers at the coffee station. She said she wants people who enter the shop to feel at home — a desire that comes from moving to Pittsburgh as a teenager and feeling welcomed. “Even though maybe for a couple of months I had that cultural shock, later on, I found everybody’s super supportive and everybody’s very welcoming and very nice to you,” Joelle Sakr said. Raised in a family with a love for coffee and traveling — their first job after arriving in a new city is looking for a coffee shop — Joelle Sakr noticed Pittsburgh lacked the coffee shops she saw in other cities which give off an international vibe. “We have the diverse population but we don’t have a place to gather the diverse population,” Joelle Sakr said. What makes Divvy diverse is less about what’s hanging on the walls and more about what’s on the menu. In the kitchen, Elie Sakr and his wife Leila bake brioche using a Sakr family recipe that’s been passed down for generations. It serves as the bun for sandwiches on the “Destination Savory Heavens” menu, but when stuffed with butter and topped with a coffee crust, becomes the base for the coffee buns served on the “Destination Sweet Paradise” menu. Each sandwich and coffee bun — inspired by cities where the Sakrs have traveled, want to visit or know people — combines their Lebanese brioche recipe with ingredients typically found in other cities around the world. The “Sweet Paris” offers customers a taste of France, with a coffee bun topped with Nutella, strawberries, bananas, hazelnuts and whipped cream. Go with the “Evening in Roma,” on the other hand, and they’ll get a coffee bun with sweet cream, drizzled with dulce de leche syrup and topped with a biscotti. Sandwiches, like the “Habibi Beirut,” offer customers something not as sweet but — with mozzarella cheese, fresh mint and tomatoes — something they still can’t find anywhere else in Pittsburgh. Those who don’t like bread can get a salad or acai bowl, and those there for the drinks have choices ranging from lattes and frappuccinos to flavored teas and Turkish coffee. Coffee buns and sandwiches, which cost $6.99, can be paired with a suggested drink for a total price starting at $7.50. “It’s a tradition in our family just because we love coffee that we always had the coffee bun with everything,” Joelle Sakr said. This is where the name Divvy — referring to coffee divvied with a bun — comes from. But aside from a nuanced menu, Divvy also offers customers a place to eat and work. Juliet Serra, a firstyear environmental studies major, said she got breakfast with a group of friends the first time she went to the coffee shop. She returned the next day for the same thing — a sausage egg and cheese sandwich — and a place to study. “It’s on the way to where I have to do my psych study so I was like, ‘I’ll just stop here first,’” Serra said. “And it’s more substantial than Starbucks so I figured I would get something that felt like actual food.” Joelle Sakr said Divvy gets the most traffic from 10 a.m. to 1 p.m. before lightening up in the afternoon, as some people study and others chat. In the future, she wants her coffee shop to be a place where customers know each other and feel comfortable interacting. “I want everybody that comes here to be connected somehow,” Joelle Sakr said. She’s already seen this happen with some of her staff who, despite not knowing each other prior to working at Divvy, spend time together outside work. "", ""“Friendships, they’re forming,” Sakr said. “I feel like my vision somehow, even if it started with my employees, is being real.” Still, Joelle Sakr envisions more happening at the shop — she wants to add new items to the menu and bring in a jazz band to play one night. First, though, she said she’s focused on hiring more staff. “I’d rather wait until we’re fully ready in the kitchen, behind the bar, until everybody’s trained the right way on how we do things, and then we will start coming up with newer ideas,” Joelle Sakr said. “But I don’t want this place to be boring.” Elie Sakr also has plans for Divvy, specifically to expand to more locations. “This is a smaller thing than what we were thinking. I want to see it go to the next level, especially in Pittsburgh,” Elie Sakr said. But for right now, Elie Sakr said he’s focused on serving coffee buns — Lebanon topped with a little Paris or Rome, and served in Pittsburgh. “I’m working on that bun to get it to people the way that we need it,” Elie Sakr said. "" )",Cranberry Township,retail,2020-2025
PN_CB02," Matt Vogt | The once caddie, now dentist, and always Pittsburgh native prepares for the U.S. Open By Aidan Kasner, Sports Editor Not too long ago, Matt Vogt was just a caddie at Oakmont Country Club with an “absolute pipe dream” to one day play a U.S. Open on the course that meant so much to him. Vogt is now a dentist — with the same dream — and it’s about to come true. After an impressive performance at “Golf’s longest day,” Vogt quickly went from filling cavities to filling one of the coveted spots in the 156man field at the 2025 U.S. Open. “It means so much,” Vogt said on qualifying for the tournament so close to his hometown in Cranberry Township. Matthew Scabilloni | Contributing Editor “I’m still trying to soak it all in, but also not to get too Matt Vogt hits a tee shot off of the first tee at Oakmont Country Club during sentimental about it because it’s incredible.” a practice round on Wednesday, June 11 Vogt caddied at Oakmont for six years, helping out OCC as it helped him — a feeling he reflected on in his opening press conference. “Even as I just talk about it now, I get sentimental about it. This place means so much to me. The members are incredible. Stanley Druckenmiller, a prominent member here, provided me and a lot of the caddies with a scholarship to help with college,” Vogt said. “So I’m just indebted to this place, and I’m so grateful. I’m just so grateful, honestly.” Pgatour.com called the story, “a modernday U.S. Open fairytale,” and they are not wrong. Vogt is the 1,173rd ranked amateur golfer in the world — now with a chance to compete on golf’s biggest stage next to the most prominent names in the sport. Vogt knows his story is unbelievable, and besides shooting for the stars — or in his case — the putting green, he isn’t going to deny the opportunity to encourage others and prove doubters wrong. “That’s one of my goals in doing all this this week, besides obviously doing the best I can in the golf tournament, is just to inspire some people, to let them know that it’s never too late to try to pursue something in your life that you think is really cool, and it’s something you want to do that other people think might be foolish or might be a waste of your time or maybe don’t believe in you,” Vogt said. Vogt’s fairytale extends far off the links too. After arriving at Oakmont, Vogt was met with many fans, and for someone who has never played in front of more than 100 people and will soon teeoff in front of more than 10,000, the moment was “awesome.” “The coolest part is seeing kids out there,” Vogt said. “It’s a true honor to be a part of that, to just see kids like that and, I guess, make a good impression on them here on the golf course.” As far as expectations, Vogt doesn’t have any, and is focused more on letting his love for the sport carry him through the week. “I don’t have a specific goal this week. I don’t have expectations, and I don’t have the same going forward. It’s just what’s possible,” Vogt said. “It’s all because I love golf so much. I love the people that you come in contact with. I love the places that you end up. That’s honestly what it’s all about for me at this point.” Watch Vogt tee off at 6:45 a.m. in the first group on Thursday with hopes to carry on the legend sweeping this year’s U.S. Open. "", """")",Cranberry Township,sports,2020-2025
